id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply,game_duration,rating_difference,total_rating,processed_date
w3ej43dD,true,1.396618098812E12,1.396618398219E12,39,resign,white,15+1,navik,1656,vladimir-kramnik-1,1577,d4 d5 h3 e6 a3 Be7 Bf4 Nf6 Nc3 c5 e3 Nc6 dxc5 Bxc5 Nb5 Bb6 Bg5 O-O Qf3 a6 Bxf6 Qxf6 Qxf6 gxf6 Nc3 e5 Nxd5 Ba5+ b4 Bd8 Nf3 f5 b5 Ba5+ Kd1 axb5 Bxb5 Rfe8 Nf6+,D00,Queen's Pawn Game,2,299407,79,3233,2025-01-31
RRNRhKjM,true,1.396617820276E12,1.396617967486E12,25,resign,white,10+10,vladimir-kramnik-1,1557,storozh,1713,e4 d5 exd5 Qxd5 Nc3 Qa5 d4 c6 Nf3 Nf6 g3 Bg4 Be2 Nbd7 O-O h5 Bd2 Qc7 Bg5 Bxf3 Bxf3 Nh7 Bf4 g5 Bxc7,B01,Scandinavian Defense: Main Line,6,147210,156,3270,2025-01-31
WRCq0dJs,true,1.39661733394E12,1.396617791354E12,51,resign,white,7+8,rubi,1686,vladimir-kramnik-1,1567,e4 d6 Nf3 e5 d4 Nc6 d5 Nce7 c4 Bg4 Be2 Ng6 Nc3 Nf6 O-O Be7 h3 Bxf3 Bxf3 O-O Bg4 Nxg4 Qxg4 Rac8 f4 c6 f5 Nh4 Bh6 Bf6 g3 Nxf5 exf5 cxd5 cxd5 Qb6+ Kg2 Qxb2+ Kh1 Qxc3 Rab1 b6 Rb3 Qd2 Bxd2 Rc2 Bg5 Bxg5 Qxg5 Rxa2 Qe7,C41,Philidor Defense,5,457414,119,3253,2025-01-31
zQKoX8kb,true,1.396531649293E12,1.396532584641E12,95,resign,white,5+8,darjov,1606,vladimir-kramnik-1,1579,e4 e6 g3 d5 Bg2 Nc6 exd5 exd5 d4 Be7 Be3 Nf6 c3 O-O Nf3 Bg4 Nbd2 Ne4 O-O Nxd2 Qxd2 f5 Rae1 h6 b4 Bg5 a4 Bxf3 Bxf3 a5 b5 Bxe3 Qxe3 Na7 Bg2 c6 bxc6 bxc6 Rec1 Rfe8 Qf4 Qd7 c4 Rac8 c5 Rcb8 Qd2 Qe6 f4 Qe2 Qxa5 Re7 Rfe1 Qb2 Rxe7 Qxc1+ Bf1 Nc8 Qd8+ Kh7 Qc7 Nxe7 Qxe7 Rb1 Qe2 Qb2 Qxb2 Rxb2 a5 Ra2 a6 g5 Bd3 Kg6 g4 Ra1+ Kg2 gxf4 Bxf5+ Kg5 Bc8 Ra2+ Kf3 Rd2 Bb7 Rxd4 a7 Ra4 a8=Q Rxa8 Bxa8 d4 Bxc6 d3 Ba4,C00,French Defense: Reti-Spielmann Attack,3,935348,27,3185,2025-01-31
3YW2jdCY,true,1.396530508186E12,1.396531327249E12,45,resign,white,10+10,patolino,1519,vladimir-kramnik-1,1597,e4 e5 d3 Nf6 Bg5 Be7 Qc1 d5 f3 Nc6 c3 h6 Bh4 O-O g4 Nd7 Bxe7 Nxe7 h4 Nb6 Na3 Ng6 Qd2 Nf4 O-O-O dxe4 fxe4 Bxg4 Rde1 Qd7 Be2 Bxe2 Nxe2 Nxe2+ Rxe2 Rad8 Rg2 Qd6 Rhg1 g6 Qxh6 c5 h5 g5 Rg2xg5+,C20,King's Pawn Game: Leonardis Variation,3,819063,78,3116,2025-01-31
I81GWfOf,true,1.396440902424E12,1.396441632192E12,102,resign,black,10+0,vladimir-kramnik-1,1619,ozi,1452,e4 a6 Nf3 h6 d4 e6 Nc3 b5 d5 d6 dxe6 Bxe6 Nd4 Bd7 g3 c5 Nf5 Bxf5 exf5 Qe7+ Qe2 Qxe2+ Nxe2 Nf6 Nf4 Be7 Bg2 Ra7 O-O O-O Nd5 Nxd5 Bxd5 Nd7 Rfe1 Bf6 Bc6 Ne5 Bg2 Rd8 Bf4 Ng4 h3 Ne5 Bxe5 dxe5 Rad1 Rxd1 Rxd1 Rc7 b3 a5 Rd5 Rc8 c3 e4 c4 bxc4 bxc4 Bd4 Bxe4 Re8 Bd3 Rb8 Kg2 Rb2 Rd8+ Kh7 f6+ g6 Rf8 Rxf2+ Kh1 Rxf6 Ra8 Rf3 Rxa5 Rxd3 a4 Ra3 Ra7 Kg7 Kg2 h5 a5 Ra4 a6 Rxc4 Rc7 Rc2+ Kf3 Ra2 a7 c4 Rxc4 Bxa7 g4 Ra3+ Kf4 Rxh3 gxh5 Rh4+,B00,St. George Defense,2,729768,167,3071,2025-01-31
hvFyJb0x,true,1.396440523277E12,1.396440770052E12,35,mate,white,10+10,vladimir-kramnik-1,1610,thiago5555,1500,e4 e5 Nf3 Nf6 Nxe5 Nxe4 Qe2 Nd6 Nc6+ Be7 Nxd8 Kxd8 g3 Nc6 Bg2 Nb4 Qd1 Nd5 Bxd5 h5 O-O b5 Rfe1 Rab8 Qe2 Rhe8 Nc3 b4 Ne4 Nxe4 Qxe4 Rb5 Bxf7 Rf8 Qxe7#,C42,Russian Game: Damiano Variation,6,246775,110,3110,2025-01-31
eFNI4mt5,true,1.396276403192E12,1.396276542278E12,33,resign,white,8+5,chulic,1612,vladimir-kramnik-1,1626,e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 Qb3 Qxb3 axb3 cxd4 Nxd4 Nxd4 cxd4 Bb4+ Bd2 Bxd2+ Nxd2 Ne7 Bb5+ Nc6 Bxc6+ bxc6 O-O O-O Rfd1 f6 exf6 Rxf6 Nf3,C02,French Defense: Advance Variation |  Paulsen Attack,9,139086,14,3238,2025-01-31
arV5860k,true,1.396196038414E12,1.396196762811E12,56,mate,black,10+15,dipjoy,1633,vladimir-kramnik-1,1610,e4 e6 e5 d6 Nf3 Nc6 Bb5 Bd7 exd6 cxd6 O-O d5 Ne5 Nxe5 Bxd7+ Qxd7 d4 Nc6 c4 Nf6 cxd5 Nxd5 Nc3 Nxc3 bxc3 Be7 Qh5 g6 Qh6 Qd5 Qg7 O-O-O Qxf7 Qc4 Rfd1 Rdf8 Qg7 Qxc3 Be3 Bf6 Qh6 Bxd4 Rac1 Qb4 Bd2 Bxf2+ Kh1 Qb6 Rcb1 Qc7 Bf4 Qf7 g3 Qf5 Rdf1 Qe4#,C00,French Defense: Steinitz Attack,3,724397,23,3243,2025-01-31
RyXZUOxL,true,1.396158429073E12,1.396159323775E12,117,mate,white,10+15,vladimir-kramnik-1,1595,fruztasi,1583,e4 e5 Nf3 Nc6 Bb5 Qf6 Nc3 a6 Ba4 b5 Bb3 Nge7 Nd5 Qd6 d3 Na5 Bd2 Nxb3 axb3 Nxd5 exd5 Qxd5 O-O Bb7 Rfe1 d6 d4 f6 Bf4 Be7 dxe5 Qxd1 Raxd1 dxe5 Bg3 Bxf3 gxf3 O-O f4 exf4 Rxe7 fxg3 hxg3 Rf7 Rxf7 Kxf7 Rd7+ Kg6 Rxc7 h5 Rc5 f5 f3 Kh6 Rxf5 g6 Rc5 Rd8 Kg2 Rd2+ Kh3 Rf2 f4 Rd2 Rc3 Rd1 Rc6 Rb1 Rxa6 Rxb2 Rc6 b4 g4 hxg4+ Kxg4 Rb1 Rc4 Rg1+ Kf3 Rf1+ Kg2 Rc1 Kf3 Kh5 Rc5+ Kh4 Rc4 Kh3 Ke4 Kg3 Kd5 Kf3 Kc5 Rxc2 Rxc2 Kxf4 Kxb4 g5 Kc4 g4 b4 Ke5 b5 Kd6 Rg2 Kc7 Rxg4 Kb6 Rg6+ Kc7 Kc5 Kb7 b6 Kb8 Kc6 Kc8 Rg8#,C60,Ruy Lopez,5,894702,12,3178,2025-01-31
QAlTkfST,true,1.396115531609E12,1.396116316882E12,63,mate,white,10+5,prodem,1696,vladimir-kramnik-1,1607,e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 Na3 cxd4 cxd4 Bxa3 bxa3 Nge7 Be3 Qa5+ Bd2 Qxa3 Be2 O-O O-O Ng6 Qc2 Qe7 Bg5 Qc7 a3 Qb6 Be3 Bd7 Rfb1 Qc7 Bd3 Rfe8 h4 b6 h5 Nf8 Ng5 h6 Nxf7 Kxf7 Bg6+ Nxg6 Qxg6+ Kg8 Bxh6 Re7 Bg5 Rf7 h6 Nxd4 f4 Nf5 Rbc1 Qb7 Rc3 Bb5 h7+ Kf8 h8=Q#,C02,French Defense: Advance Variation |  Paulsen Attack,9,785273,89,3303,2025-01-31
YfM71i8S,true,1.396114150454E12,1.396114863717E12,62,resign,black,10+5,airblade92,1743,vladimir-kramnik-1,1586,e4 e6 Nf3 d5 exd5 exd5 Qe2+ Be7 d4 Nf6 Nc3 O-O Bg5 Rfe8 O-O-O Nc6 Qd2 Bg4 Be2 h6 Bxf6 Bxf6 h3 Bxf3 Bxf3 Nxd4 Nxd5 Nxf3 gxf3 c6 Nxf6+ Qxf6 Kb1 Rad8 Qc1 Qxf3 Rxd8 Rxd8 a3 Qxf2 Rf1 Qg3 Rh1 b5 b3 a5 Rg1 Qxh3 Qb2 g6 Qf6 Qd7 Rf1 a4 bxa4 bxa4 Qf3 Rb8+ Ka2 Qe6+ Ka1 Qe5+,C00,French Defense: Knight Variation,3,713263,157,3329,2025-01-31
061LCiAb,true,1.396112980274E12,1.396113867708E12,66,draw,draw,10+15,faraon7,1630,vladimir-kramnik-1,1584,e4 e6 Nf3 d5 exd5 exd5 Bb5+ Bd7 Bxd7+ Qxd7 O-O Nc6 Rfe1+ Be7 Ne5 Nxe5 Rxe5 Nf6 Nc3 O-O Qe1 Rfe8 b3 Bd6 Rxe8+ Rxe8 Qd1 Qe6 Bb2 Ng4 Nb5 Bxh2+ Kf1 c6 Nd4 Qf6 Qxg4 Be5 Re1 g6 c3 c5 Nf3 Qa6+ Kg1 Qxa2 Rxe5 Rxe5 Nxe5 Qxb2 Qd7 Qb1+ Kh2 Qf5 Qxd5 Qxf2 d4 Qh4+ Kg1 Qe1+ Kh2 Qh4+ Kg1 Qe1+ Kh2 Qh4+,C00,French Defense: Knight Variation,3,887434,46,3214,2025-01-31
6t02ANX0,true,1.396112474833E12,1.396112937395E12,50,resign,black,10+15,hercule-poivrot,1609,vladimir-kramnik-1,1564,e4 e6 Nf3 d5 d4 c5 e5 cxd4 Nxd4 Bc5 c3 Nc6 b4 Bb6 Bb5 Bd7 Qa4 Nxe5 Bxd7+ Nxd7 O-O Bxd4 cxd4 Ne7 Bf4 O-O Bd6 Rfe8 f4 Nf5 Be5 Nb6 Qd1 Nc4 Qg4 Qb6 a3 Nxe5 fxe5 Ne3 Qf4 Nxf1 Nc3 Nxh2 Kxh2 Rac8 Rf1 Re7 Kh1 Rxc3,C02,French Defense: Advance Variation |  Nimzowitsch System,7,462562,45,3173,2025-01-31
